Symbol,Count
Д,9702
А,60575
П,8817
Ў,6664
Й,5118
Ц,10430
Е,11033
Н,30229
Ы,17580
В,11590
Р,16154
Х,3974
К,9692
С,14198
Т,11232
У,5788
І,15475
Я,9903
Г,4573
Ь,3500
З,10092
О,7877
М,10908
Ю,1280
Э,5989
Л,7736
Ф,1616
Ч,4308
Б,3832
Ё,739
Ж,1010
Ш,3164
