Symbol,Count
Д,9702
Л,7736
Я,9903
С,14198
У,5788
Ч,4308
А,60575
Н,30229
Г,4573
В,11590
Е,11033
Т,11232
П,8817
Ы,17580
Ш,3164
Э,5989
Ў,6664
З,10092
Р,16154
О,7877
Ю,1280
М,10908
К,9692
Й,5118
Ц,10430
І,15475
Б,3832
Х,3974
Ф,1616
Ь,3500
Ж,1010
Ё,739
