Symbol,Count
Д,38420
Л,30632
Я,39200
С,56264
У,22912
Ч,17056
А,239912
Н,119680
Г,18108
В,45848
Е,43696
Т,44484
П,34928
Ы,69576
Ш,12528
Э,23704
Ў,26360
З,39972
Р,63960
О,31200
Ю,5052
М,43148
К,38380
Й,20272
Ц,41316
І,61292
Б,15184
Х,15720
Ф,6400
Ь,13856
Ж,3996
Ё,2928
