Symbol,Count
Ч,38420
П,39200
Р,177504
Г,58656
Е,23716
Й,17056
Ў,239912
Ц,18108
Х,45848
Ш,43696
Д,43948
Б,34124
Л,69576
К,12528
Н,23704
Ё,28752
Э,39972
В,61568
А,31200
О,5052
Я,20272
І,41316
Ю,61292
Ф,15184
З,16256
Ж,6400
М,13856
У,3476
С,10660
Ь,3996
Т,8520
Ы,2928
